url,address
https://looplink.gridlineproperties.com/Listing/1690-NE-134th-St-North-Miami-FL/32392486/,"North Miami, FL 33181"
https://looplink.gridlineproperties.com/Listing/2721-NW-1st-Avenue-Miami-FL/32309491/,"Miami, FL 33127"
https://looplink.gridlineproperties.com/Listing/97-NW-27th-St-Miami-FL/32287013/,"Miami, FL 33127"
https://looplink.gridlineproperties.com/Listing/148-NW-28th-St-Miami-FL/32168174/,"Miami, FL 33127"
https://looplink.gridlineproperties.com/Listing/320-NW-29th-St-Miami-FL/32096794/,"Miami, FL 33127"
https://looplink.gridlineproperties.com/Listing/92-NW-27th-st-Miami-FL/32092076/,"Miami, FL 33127"
https://looplink.gridlineproperties.com/Listing/2721-2727-NW-1st-ave-Miami-FL/31966254/,"Miami, FL 33127"
https://looplink.gridlineproperties.com/Listing/124-136-S-Federal-Hwy-Hallandale-Beach-FL/31479891/,"Hallandale Beach, FL 33009"
https://looplink.gridlineproperties.com/Listing/9101-Biscayne-Blvd-Miami-FL/31430750/,"Miami, FL 33138"
https://looplink.gridlineproperties.com/Listing/178-NW-54th-St-Miami-FL/31378569/,"Miami, FL 33127"
https://looplink.gridlineproperties.com/Listing/3430-N-Miami-Ave-Miami-FL/31319828/,"Miami, FL 33127"
https://looplink.gridlineproperties.com/Listing/2319-NW-18th-Ave-Miami-FL/30817677/,"Miami, FL 33142"
https://looplink.gridlineproperties.com/Listing/523-529-NW-28th-St-Miami-FL/30634112/,"Miami, FL 33127"
https://looplink.gridlineproperties.com/Listing/401-NW-79th-St-Miami-FL/30615928/,"Miami, FL 33150"
https://looplink.gridlineproperties.com/Listing/41-NW-20th-St-Miami-FL/29941663/,"Miami, FL 33127"
https://looplink.gridlineproperties.com/Listing/235-257-NE-79th-St-Miami-FL/28742349/,"Miami, FL 33138"
https://looplink.gridlineproperties.com/Listing/1195-NW-71st-St-Miami-FL/28040611/,"Miami, FL 33150"
https://looplink.gridlineproperties.com/Listing/7501-7503-NW-7th-Ave-Miami-FL/27069009/,"Miami, FL 33150"
https://looplink.gridlineproperties.com/Listing/7618-7624-NE-2nd-Ave-Miami-FL/26525773/,"Miami, FL 33138"
https://looplink.gridlineproperties.com/Listing/1486-NW-23rd-St-Miami-FL/26328267/,"Miami, FL 33142"
https://looplink.gridlineproperties.com/Listing/850-856-NW-71st-St-Miami-FL/25919531/,"Miami, FL 33150"
https://looplink.gridlineproperties.com/Listing/2650-SW-27th-Ave-Miami-FL/31205322/,"Miami, FL 33133"
https://looplink.gridlineproperties.com/Listing/523-545-NE-125th-St-North-Miami-FL/30416815/,"North Miami, FL 33161"
